g = m/s²
Experimental Value of acceleration	Accepted Value of acceleration
9.803243		9.803
Percent Error	-1.419285
Position (m),	Time (s)
-311.525362,	0.173800
-312.325744,	0.174000
-313.089185,	0.174200
-313.877253,	0.174400
-314.714576,	0.174600
-315.428762,	0.174800
-316.253771,	0.175000
-316.967958,	0.175200
-317.829908,	0.175400
-318.544095,	0.175600
-319.344477,	0.175800
-320.132545,	0.176000
-320.932927,	0.176200
-321.708682,	0.176400
-322.459810,	0.176600
-323.260192,	0.176800
-324.011320,	0.177000
-324.811702,	0.177200
-325.612084,	0.177400
-326.387839,	0.177600
-327.225162,	0.177800
-328.013231,	0.178000
-328.776673,	0.178200
-329.552428,	0.178400
-330.365124,	0.178600
-331.103938,	0.178800
-331.904320,	0.179000
-332.729330,	0.179200
-333.517399,	0.179400
-334.330095,	0.179600
-335.056596,	0.179800
-335.906233,	0.180000
-336.645047,	0.180200
-337.470057,	0.180400
-338.233499,	0.180600
-339.070822,	0.180800
-339.834264,	0.181000
-340.622333,	0.181200
-341.422716,	0.181400
-342.235412,	0.181600
-343.035795,	0.181800
-343.860805,	0.182000
-344.636561,	0.182200
-345.387689,	0.182400
-346.188072,	0.182600
-346.963828,	0.182800
-347.788838,	0.183000
-348.663102,	0.183200
-349.451172,	0.183400
-350.214614,	0.183600
-351.002683,	0.183800
-351.741499,	0.184000
-352.566509,	0.184200
-353.428460,	0.184400
-354.179589,	0.184600
-354.992286,	0.184800
-355.743414,	0.185000
-356.605366,	0.185200
-357.442690,	0.185400
-358.156878,	0.185600
-359.006516,	0.185800
-359.806899,	0.186000
-360.594969,	0.186200
-361.432293,	0.186400
-362.195736,	0.186600
-362.971492,	0.186800
-363.771876,	0.187000
-364.683082,	0.187200
-365.495779,	0.187400
-366.222281,	0.187600
-367.047292,	0.187800
-367.823048,	0.188000
-368.660373,	0.188200
-369.473070,	0.188400
-370.248827,	0.188600
-371.086151,	0.188800
-372.194375,	0.189000
-372.662292,	0.189200
-373.487303,	0.189400
-374.324628,	0.189600
-375.137326,	0.189800
-375.962337,	0.190000
-376.750407,	0.190200
-377.526164,	0.190400
-378.412744,	0.190600
-379.151560,	0.190800
-379.964258,	0.191000
-380.789269,	0.191200
-381.663535,	0.191400
-382.463919,	0.191600
-383.301244,	0.191800
-384.126256,	0.192000
-384.914327,	0.192200
-385.788593,	0.192400
-386.552037,	0.192600
-387.352421,	0.192800
-388.165119,	0.193000
-389.039386,	0.193200
-389.827457,	0.193400
-390.652469,	0.193600
-391.489794,	0.193800
-392.351747,	0.194000
-393.201386,	0.194200
-393.952517,	0.194400
-394.752902,	0.194600
-395.627168,	0.194800
-396.427553,	0.195000
-397.166370,	0.195200
-398.052950,	0.195400
-398.877963,	0.195600
-399.789170,	0.195800
-401.106727,	0.196000
-401.340686,	0.196200
-402.178012,	0.196400
-403.015338,	0.196600
-403.864978,	0.196800
-404.665363,	0.197000
-405.539631,	0.197200
-406.340016,	0.197400
-407.152715,	0.197600
-407.977728,	0.197800
-408.802741,	0.198000
-409.627753,	0.198200
-410.465080,	0.198400
-411.265466,	0.198600
-412.090479,	0.198800
-412.952432,	0.199000
-413.863641,	0.199200
-414.799477,	0.199400
-415.464413,	0.199600
-416.363307,	0.199800
-417.176007,	0.200000
-418.050275,	0.200200
-418.813720,	0.200400
-419.651047,	0.200600
-420.451433,	0.200800
-421.362642,	0.201000
-422.138401,	0.201200
-423.012669,	0.201400
-423.825369,	0.201600
-424.724264,	0.201800
-425.475396,	0.202000
-426.337351,	0.202200
-427.186992,	0.202400
-428.036633,	0.202600
-429.157174,	0.202800
-429.686660,	0.203000
-430.573243,	0.203200
-431.398257,	0.203400
-432.210957,	0.203600
-433.060598,	0.203800
-433.922553,	0.204000
-434.759881,	0.204200
-435.621836,	0.204400
-436.372969,	0.204600
-437.247237,	0.204800
-438.059938,	0.205000
-438.921893,	0.205200
-439.709967,	0.205400
-440.621177,	0.205600
-441.507760,	0.205800
-442.320461,	0.206000
-443.305553,	0.206200
-443.958176,	0.206400
-444.820132,	0.206600
-445.719029,	0.206800
-446.593298,	0.207000
-447.442940,	0.207200
-448.243328,	0.207400
-449.092970,	0.207600
-449.979553,	0.207800
-450.743000,	0.208000
-451.629584,	0.208200
-452.442285,	0.208400
-487.893357,	0.208600
-529.021160,	0.208800
-529.021160,	0.209000
-529.021160,	0.209200
-529.021160,	0.209400
-529.033474,	0.209600
-529.021160,	0.209800
-529.021160,	0.210000
-529.021160,	0.210200
-529.021160,	0.210400
-529.021160,	0.210600
-529.033474,	0.210800
-529.021160,	0.211000
-529.008846,	0.211200
-529.021160,	0.211400
-529.021160,	0.211600
-529.021160,	0.211800
-529.021160,	0.212000
-529.021160,	0.212200
-529.033474,	0.212400
-529.021160,	0.212600
-529.021160,	0.212800
-529.021160,	0.213000
-529.021160,	0.213200
-529.021160,	0.213400
-529.033474,	0.213600
-529.021160,	0.213800
-529.021160,	0.214000
-529.021160,	0.214200
-529.021160,	0.214400
-529.021160,	0.214600
-529.021160,	0.214800
-529.021160,	0.215000
-529.021160,	0.215200
-529.021160,	0.215400
-529.021160,	0.215600
-529.021160,	0.215800
-529.033474,	0.216000
-529.021160,	0.216200
-529.021160,	0.216400
-529.021160,	0.216600
-529.021160,	0.216800
-529.021160,	0.217000
